"","Country","X2020","X2021","X2022","RANK","Happiness.score","Whisker.high","Whisker.low","Dystopia..1.83....residual","Explained.by..GDP.per.capita","Explained.by..Social.support","Explained.by..Healthy.life.expectancy","Explained.by..Freedom.to.make.life.choices","Explained.by..Generosity","Explained.by..Perceptions.of.corruption","Ranked_Country","happy_index"
"1","Albania","16.996","16.77","18.012",90,5.199,5.321,5.076,1.718,1.439,0.646,0.719,0.511,0.138,0.028,"Finland",7.821
"2","Algeria","219.16","163.812","168.195",96,5.122,5.215,5.03,1.744,1.363,0.97,0.643,0.146,0.106,0.15,"Denmark",7.636
"3","Argentina","633.889","455.172","483.765",57,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085,"Iceland",7.557
"4","Armenia","12.939","13.612","15.06",82,5.399,5.519,5.278,1.654,1.434,0.82,0.668,0.558,0.054,0.21,"Switzerland",7.512
"5","Australia","1,515.70","1,610.56","1,677.45",12,7.162,7.244,7.081,2.011,1.9,1.203,0.772,0.676,0.258,0.341,"Netherlands",7.415
"6","Austria","452.657","481.209","520.343",11,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329,"Luxembourg",7.404
"7","Azerbaijan","87.276","52.645","54.725",92,5.173,5.265,5.082,1.098,1.458,1.093,0.56,0.601,0.023,0.341,"Sweden",7.384
"8","Bahrain","40.522","39.104","41.057",21,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155,"Norway",7.365
"9","Bangladesh","310.858","355.689","390.608",94,5.155,5.262,5.049,1.967,1.06,0.614,0.581,0.622,0.125,0.187,"Israel",7.364
"10","Belarus","89.315","65.754","70.632",65,5.821,5.95,5.693,1.811,1.562,1.157,0.629,0.342,0.04,0.282,"New Zealand",7.2
"11","Belgium","556.197","581.848","619.16",19,6.805,6.89,6.72,2.283,1.907,1.106,0.764,0.492,0.049,0.204,"Austria",7.163
"12","Benin","11.659","18.067","19.917",115,4.623,4.754,4.492,2.458,0.932,0.064,0.335,0.479,0.127,0.23,"Australia",7.162
"13","Bolivia","48.626","38.547","40.895",71,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064,"Ireland",7.041
"14","Bosnia and Herzegovina","21.559","21.692","23.006",67,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006,"Germany",7.034
"15","Botswana","17.456","17.605","19.002",142,3.471,3.667,3.275,0.187,1.503,0.815,0.28,0.571,0.012,0.102,"Canada",7.025
"16","Brazil","2,054.41","1,645.84","1,810.61",38,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134,"United States",6.977
"17","Bulgaria","59.506","77.907","84.308",85,5.371,5.485,5.257,1.235,1.625,1.163,0.64,0.563,0.123,0.021,"United Kingdom",6.943
"18","Burkina Faso","18.003","19.932","21.887",113,4.67,4.814,4.527,2.313,0.779,0.565,0.32,0.382,0.186,0.126,"Belgium",6.805
"19","Cambodia","27.089","26.08","27.985",114,4.64,4.765,4.516,1.41,1.019,0.732,0.505,0.74,0.166,0.068,"France",6.687
"20","Cameroon","43.247","44.806","48.29",102,5.048,5.188,4.907,2.469,0.968,0.672,0.317,0.397,0.152,0.074,"Bahrain",6.647
"21","Canada","1,958.15","2,015.98","2,189.79",15,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368,"Slovenia",6.63
"22","Chad","18.547","12.345","12.953",130,4.251,4.503,3.999,2.419,0.662,0.506,0.225,0.18,0.182,0.077,"Costa Rica",6.582
"23","Chile","292.019","331.25","352.664",44,6.172,6.262,6.082,2.04,1.651,1.08,0.748,0.46,0.124,0.069,"United Arab Emirates",6.576
"24","China","17,100.06","16,862.98","18,463.13",72,5.585,5.65,5.52,1.516,1.508,0.958,0.705,0.656,0.099,0.142,"Saudi Arabia",6.523
"25","Colombia","421.246","300.791","319.29",66,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077,"Taiwan Province of China",6.512
"26","Comoros","0.834","1.281","1.363",116,4.609,4.849,4.368,2.304,0.899,0.476,0.424,0.185,0.195,0.125,"Singapore",6.48
"27","Costa Rica","71.816","61.46","64.374",23,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102,"Romania",6.477
"28","Croatia","61.381","63.399","68.525",47,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0,"Spain",6.476
"29","Cyprus","23.907","26.546","28.291",41,6.221,6.32,6.122,2.044,1.815,0.909,0.819,0.448,0.123,0.062,"Uruguay",6.474
"30","Denmark","369.686","396.666","414.55",2,7.636,7.71,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532,"Italy",6.467
"31","Dominican Republic","85.005","89.502","97.371",69,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179,"Malta",6.447
"32","Ecuador","116.105","104.483","109.975",76,5.533,5.653,5.414,1.866,1.352,0.879,0.708,0.565,0.08,0.083,"Lithuania",6.446
"33","Egypt","0","396.328","438.348",129,4.288,4.377,4.198,0.856,1.388,0.732,0.548,0.469,0.041,0.254,"Estonia",6.341
"34","El Salvador","31.358","27.665","29.316",49,6.12,6.25,5.99,2.514,1.265,0.768,0.607,0.666,0.089,0.212,"Panama",6.309
"35","Estonia","31.856","36.039","39.542",36,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333,"Brazil",6.293
"36","Ethiopia","100.324","92.757","0",131,4.241,4.365,4.118,1.375,0.788,0.809,0.457,0.472,0.205,0.136,"Guatemala",6.262
"37","Finland","281.26","296.016","314.538",1,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534,"Kazakhstan",6.234
"38","France","2,940.19","2,940.43","3,140.03",20,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266,"Cyprus",6.221
"39","Gabon","18.899","18.293","19.632",106,4.958,5.091,4.826,1.892,1.459,0.738,0.396,0.343,0.032,0.099,"Latvia",6.18
"40","Georgia","20.331","17.846","19.688",105,4.973,5.079,4.867,1.583,1.467,0.612,0.595,0.508,0,0.208,"Serbia",6.178
"41","Germany","4,004.94","4,230.17","4,557.35",14,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358,"Chile",6.172
"42","Ghana","58.288","75.487","82.018",111,4.872,4.999,4.745,1.972,1.112,0.595,0.409,0.5,0.23,0.056,"Nicaragua",6.165
"43","Greece","234.579","211.645","224.894",58,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108,"Mexico",6.128
"44","Guatemala","85.228","83.305","89.214",39,6.262,6.46,6.064,2.746,1.274,0.831,0.522,0.662,0.112,0.115,"Croatia",6.125
"45","Guinea","10.326","16.724","18.223",109,4.891,5.028,4.753,2.538,0.848,0.566,0.275,0.334,0.214,0.116,"Poland",6.123
"46","Honduras","23.101","26.325","27.923",55,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076,"El Salvador",6.12
"47","Hungary","150.095","180.959","198.992",51,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064,"Kuwait",6.106
"48","Iceland","19.991","25.476","27.172",3,7.557,7.651,7.464,2.32,1.936,1.32,0.803,0.718,0.27,0.191,"Hungary",6.086
"49","India","3,443.60","2,946.06","3,250.08",136,3.777,3.828,3.726,0.795,1.167,0.376,0.471,0.647,0.198,0.123,"Mauritius",6.071
"50","Indonesia","1,193.91","1,150.25","1,247.35",87,5.24,5.341,5.139,1.3,1.382,0.883,0.539,0.62,0.468,0.047,"Uzbekistan",6.063
"51","Ireland","295.976","516.253","550.518",13,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408,"Japan",6.039
"52","Israel","339.065","467.532","501.409",9,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143,"Honduras",6.022
"53","Italy","2,143.80","2,120.23","2,272.27",31,6.467,6.57,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059,"Portugal",6.016
"54","Jamaica","17.084","14.857","15.63",63,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053,"Argentina",5.967
"55","Japan","4,746.88","5,103.11","5,383.68",54,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218,"Greece",5.948
"56","Jordan","53.852","45.344","47.5",134,4.152,4.276,4.029,0.695,1.324,0.724,0.675,0.476,0.058,0.2,"Philippines",5.904
"57","Kazakhstan","268.657","194.024","203.666",40,6.234,6.33,6.138,1.86,1.668,1.22,0.611,0.584,0.134,0.157,"Thailand",5.891
"58","Kenya","104.043","109.491","116.641",119,4.543,4.683,4.403,1.661,1.032,0.605,0.401,0.44,0.322,0.082,"Moldova",5.857
"59","Kuwait","178.517","132.266","138.78",50,6.106,6.235,5.977,1.621,1.904,0.983,0.747,0.617,0.087,0.147,"Jamaica",5.85
"60","Latvia","38.834","37.199","40.83",42,6.18,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.09,"Belarus",5.821
"61","Lebanon","70.286","0","0",145,2.955,3.049,2.862,0.216,1.392,0.498,0.631,0.103,0.082,0.034,"Colombia",5.781
"62","Lesotho","2.682","2.478","2.592",141,3.512,3.748,3.276,1.312,0.839,0.848,0,0.419,0.076,0.018,"Bosnia and Herzegovina",5.768
"63","Liberia","2.984","3.384","3.664",97,5.122,5.428,4.815,2.844,0.636,0.67,0.309,0.405,0.178,0.08,"Mongolia",5.761
"64","Libya","53.805","27.3","29.202",86,5.33,5.543,5.118,1.544,1.476,0.943,0.606,0.477,0.106,0.179,"Dominican Republic",5.737
"65","Lithuania","56.8","62.635","67.659",34,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077,"Malaysia",5.711
